,X,G,C,R,I,M,Q,PQ,Y
1,303.9,714.9,2653.6,518.7,631.9,337.9,3966.6,3966.6,2855.9
2,308.8,718.5,2696.7,522.5,653.6,351.8,4026.0,4026.0,2898.7
3,313.8,722.2,2738.8,526.2,648.2,361.8,4061.2,4061.2,2924.0
4,318.7,725.9,2769.0,530.0,628.1,363.1,4078.6,4078.6,2936.6
5,323.6,729.5,2785.3,533.7,588.0,359.4,4067.2,4078.6,2928.4
6,328.5,733.2,2784.8,537.5,553.7,353.4,4047.0,4078.6,2913.8
7,333.5,736.9,,541.2,,,4033.7,4078.6,2904.2
8,338.4,740.5,,545.0,,,,,
9,343.3,744.2,,548.7,,,,,
10,348.3,747.8,,552.5,,,,,
11,353.2,751.5,,556.2,,,,,
12,358.1,755.2,,560.0,,,,,
13,363.0,758.8,,563.7,,,,,
14,368.0,762.5,,567.5,,,,,
15,372.9,766.1,,571.2,,,,,
16,377.8,769.8,,575.0,,,,,
17,382.8,773.5,,578.7,,,,,
18,387.7,777.1,,582.5,,,,,
19,392.6,780.8,,586.2,,,,,
20,397.6,784.5,,590.0,,,,,
21,402.5,788.1,,593.7,,,,,
22,407.4,791.8,,597.5,,,,,
23,412.3,795.4,,601.2,,,,,
24,417.3,799.1,,605.0,,,,,
